School, Room, Asset, Serial Number, Model, Physical Status, Assignment Status
FHS,None,7214,HY3A91BF607526,Samsung Chromebook,Good,Unassigned
FHS,None,6485,HY3A91BF608563,Samsung Chromebook,Good,Unassigned
FHS,None,7026,HY3A91BF609027,Samsung Chromebook,Good,Unassigned
FHS,None,6502,HY3A91BF608235,Samsung Chromebook,Good,Unassigned
FHS,None,7056,HY3A91AF609581,Samsung Chromebook,Good,Unassigned
FHS,None,6685,HY3A91BF607807,Samsung Chromebook,Good,Unassigned
FHS,None,6692,HY3A91AF608883,Samsung Chromebook,Good,Unassigned
FHS,None,6526,HY3A91AF609472,Samsung Chromebook,Good,Unassigned
FHS,None,6799,HY3A91BF607496,Samsung Chromebook,Good,Unassigned
FHS,None,7265,0UG99FBF702000,Samsung Chromebook,Good,Unassigned
FHS,None,7096,HY3A91BF607547,Samsung Chromebook,Good,Unassigned
FHS,None,5564,HY3A91TD630126,Samsung Chromebook,Good,Unassigned
FHS,None,7189,HY3A91BF608712,Samsung Chromebook,Good,Unassigned
FHS,None,7247,HY3A91BF607414,Samsung Chromebook,Good,Unassigned
FHS,None,2800,HY3A91ND212113,Samsung Chromebook,Good,Unassigned
FHS,None,6556,HY3A91BF609116,Samsung Chromebook,Good,Unassigned
FHS,None,5802,HY3A91IDC03001,Samsung Chromebook,Good,Unassigned
FHS,None,4037,HY3A91ND727113,Samsung Chromebook,Good,Unassigned
FHS,None,7190,HY3A91BF608398,Samsung Chromebook,Good,Unassigned
FHS,None,6636,HY3A91BF607307,Samsung Chromebook,Good,Unassigned
FHS,None,5584,HY3A91TD630193,Samsung Chromebook,Good,Unassigned
FHS,None,7264,0UG99FBF703297,Samsung Chromebook,Good,Unassigned
FHS,None,6735,HY3A91AF609878,Samsung Chromebook,Good,Unassigned
FHS,None,6884,HY3A91BF608714,Samsung Chromebook,Good,Unassigned
FHS,None,6673,HY3A91BF608321,Samsung Chromebook,Good,Unassigned
FHS,None,5851,HY3A91KD745997,Samsung Chromebook,Good,Unassigned
FHS,None,5870,HY3A91KD746001,Samsung Chromebook,Good,Unassigned
FHS,None,6624,HY3A91BF609088,Samsung Chromebook,Good,Unassigned
FHS,None,6536,0UG99FBF600327,Samsung Chromebook,Good,Unassigned
FHS,None,5644,HY3A91AF209680,Samsung Chromebook,Good,Unassigned
FHS,None,7092,HY3A91AF608761,Samsung Chromebook,Good,Unassigned
FHS,None,6748,HY3A91AF609190,Samsung Chromebook,Good,Unassigned
FHS,None,6475,HY3A91BF608085,Samsung Chromebook,Good,Unassigned
FHS,None,7105,HY3A91BF608456,Samsung Chromebook,Good,Unassigned
FHS,None,6889,HY3A91BF608819,Samsung Chromebook,Good,Unassigned
FHS,None,5875,HY3A91KD746182,Samsung Chromebook,Good,Unassigned
FHS,None,7076,HY3A91AF609455,Samsung Chromebook,Good,Unassigned
FHS,None,7008,HY3A91BF608839,Samsung Chromebook,Good,Unassigned
FHS,None,7071,HY3A91AF609572,Samsung Chromebook,Good,Unassigned
FHS,None,6422,HY3A91BF607469,Samsung Chromebook,Good,Unassigned
FHS,None,7288,0UG99FBF703301,Samsung Chromebook,Good,Unassigned
FHS,None,6898,HY3A91AF607953,Samsung Chromebook,Good,Unassigned
FHS,None,7184,HY3A91BF608339,Samsung Chromebook,Good,Unassigned
FHS,None,7044,HY3A91BF607860,Samsung Chromebook,Good,Unassigned
FHS,None,6755,HY3A91BF608953,Samsung Chromebook,Good,Unassigned
FHS,None,6638,HY3A91BF607154,Samsung Chromebook,Good,Unassigned
FHS,None,6783,HY3A91BF608916,Samsung Chromebook,Good,Unassigned
FHS,None,7099,HY3A91BF607891,Samsung Chromebook,Good,Unassigned
FHS,None,7040,HY3A91AF609101,Samsung Chromebook,Good,Unassigned
FHS,None,6726,HY3A91AF609157,Samsung Chromebook,Good,Unassigned
FHS,None,7274,HY3A91BF708577,Samsung Chromebook,Good,Unassigned
FHS,None,6897,HY3A91BF607069,Samsung Chromebook,Good,Unassigned
FHS,None,6736,HY3A91AF608667,Samsung Chromebook,Good,Unassigned
FHS,None,7104,HY3A91BF608284,Samsung Chromebook,Good,Unassigned
FHS,None,6710,HY3A91BF608987,Samsung Chromebook,Good,Unassigned
FHS,None,6528,HY3A91AF609394,Samsung Chromebook,Good,Unassigned
FHS,None,5783,HY3A91KD508850,Samsung Chromebook,Good,Unassigned
FHS,None,6732,HY3A91AF609212,Samsung Chromebook,Good,Unassigned
FHS,None,7035,HY3A91BF607582,Samsung Chromebook,Good,Unassigned
FHS,None,5642,HY3A91AF209943,Samsung Chromebook,Good,Unassigned
